key,emo,version,name,status,uni,codepoints
man_fairy_medium_light_skin_tone,🧚🏼‍♂,E5.0,man fairy: medium-light skin tone,minimally-qualified,1f9da_1f3fc_200d_2642,1F9DA 1F3FC 200D 2642
man_fairy_medium_skin_tone,🧚🏽‍♂,E5.0,man fairy: medium skin tone,minimally-qualified,1f9da_1f3fd_200d_2642,1F9DA 1F3FD 200D 2642
man_fairy_medium_dark_skin_tone,🧚🏾‍♂,E5.0,man fairy: medium-dark skin tone,minimally-qualified,1f9da_1f3fe_200d_2642,1F9DA 1F3FE 200D 2642
man_fairy_dark_skin_tone,🧚🏿‍♂,E5.0,man fairy: dark skin tone,minimally-qualified,1f9da_1f3ff_200d_2642,1F9DA 1F3FF 200D 2642
woman_fairy,🧚‍♀,E5.0,woman fairy,minimally-qualified,1f9da_200d_2640,1F9DA 200D 2640
woman_fairy_light_skin_tone,🧚🏻‍♀,E5.0,woman fairy: light skin tone,minimally-qualified,1f9da_1f3fb_200d_2640,1F9DA 1F3FB 200D 2640
woman_fairy_medium_light_skin_tone,🧚🏼‍♀,E5.0,woman fairy: medium-light skin tone,minimally-qualified,1f9da_1f3fc_200d_2640,1F9DA 1F3FC 200D 2640
woman_fairy_medium_skin_tone,🧚🏽‍♀,E5.0,woman fairy: medium skin tone,minimally-qualified,1f9da_1f3fd_200d_2640,1F9DA 1F3FD 200D 2640
woman_fairy_medium_dark_skin_tone,🧚🏾‍♀,E5.0,woman fairy: medium-dark skin tone,minimally-qualified,1f9da_1f3fe_200d_2640,1F9DA 1F3FE 200D 2640
woman_fairy_dark_skin_tone,🧚🏿‍♀,E5.0,woman fairy: dark skin tone,minimally-qualified,1f9da_1f3ff_200d_2640,1F9DA 1F3FF 200D 2640
vampire,🧛,E5.0,vampire,fully-qualified,1f9db,1F9DB
vampire_light_skin_tone,🧛🏻,E5.0,vampire: light skin tone,fully-qualified,1f9db_1f3fb,1F9DB 1F3FB
vampire_medium_light_skin_tone,🧛🏼,E5.0,vampire: medium-light skin tone,fully-qualified,1f9db_1f3fc,1F9DB 1F3FC
vampire_medium_skin_tone,🧛🏽,E5.0,vampire: medium skin tone,fully-qualified,1f9db_1f3fd,1F9DB 1F3FD
vampire_medium_dark_skin_tone,🧛🏾,E5.0,vampire: medium-dark skin tone,fully-qualified,1f9db_1f3fe,1F9DB 1F3FE
vampire_dark_skin_tone,🧛🏿,E5.0,vampire: dark skin tone,fully-qualified,1f9db_1f3ff,1F9DB 1F3FF
man_vampire,🧛‍♂,E5.0,man vampire,minimally-qualified,1f9db_200d_2642,1F9DB 200D 2642
man_vampire_light_skin_tone,🧛🏻‍♂,E5.0,man vampire: light skin tone,minimally-qualified,1f9db_1f3fb_200d_2642,1F9DB 1F3FB 200D 2642
man_vampire_medium_light_skin_tone,🧛🏼‍♂,E5.0,man vampire: medium-light skin tone,minimally-qualified,1f9db_1f3fc_200d_2642,1F9DB 1F3FC 200D 2642
man_vampire_medium_skin_tone,🧛🏽‍♂,E5.0,man vampire: medium skin tone,minimally-qualified,1f9db_1f3fd_200d_2642,1F9DB 1F3FD 200D 2642
